id,csp,cso,duration,count,reuse,is_iaas,is_paas,is_saas
FR2421035110,Cellebrite,Cellebrite Government Cloud (CGC),150,0,0,0,0,1
FR2125059322,Center for Translational Data Science (CTDS),Gen3 Data Ecosystems Platform,361,2,1,0,0,1
FR2110056334,"Center for Translational Data Science (CTDS), University of Chicago and Open Commons Consortium (OCC)",Gen3 Data Commons Service,44,1,0,0,0,1
FR2317262742,Ceribell,Ceribell EEG,300,1,0,0,0,1
FR2433976629,"Cervais, Inc.",Cylenium Cloud ,125,0,0,0,0,1
F1609087941,CFI Group,Customer Feedback Management System (CFMS),1009,3,2,0,0,1
FR2022243058,CGI Federal,Momentum Enterprise Suite,180,1,0,0,0,1
F1206061350,CGI Federal,CGI Federal IaaS Cloud,231,12,11,1,0,0
FR2018946952,CGI Federal,Sunflower Asset Management Cloud (SAMC),641,1,0,0,0,1
FR2332984245,"ChargePoint, Inc.",CP Fed Cloud,146,1,0,0,0,1
FR2328145448,"Chargie, LLC",Electric Vehicle Infrastructure Platform for Government,196,1,0,0,0,1
FR2511048038,"Check Point Software Technologies, Inc.",Check Point Infinity Platform for Government,94,0,0,0,0,1
FR2514624801,Checkmarx,Checkmarx One for Government (CXG),17,0,0,0,0,1
FR2330728655,Chronus LLC,Chronus for Government,197,1,0,0,0,1
FR1814240140,CircleCI,CircleCI Cloud,-1832,1,19,0,0,1
FR2220549818,CirrusMD,CirrusMD Virtual Health Chat for Government,880,1,0,0,0,1
FR2518163100,Cisco,Spaces for Government,94,0,0,0,0,1
FR1823368486,Cisco AppDynamics,AppDynamics GovAPM,358,1,35,0,0,1
F1605107897,Cisco Systems Inc.,Cisco Cloudlock for Government,578,1,35,0,0,1
FR2304757473,Cisco Systems Inc.,Cisco Umbrella for Government,513,2,1,0,0,1
FR2315535023,Cisco Systems Inc.,Cisco Meraki for Government,657,1,0,0,0,1
F1604017885,Cisco Systems Inc.,Cisco Unified Communications Manager Cloud for Government (Cisco UCM Cloud for Government),288,8,7,0,0,1
F1511207635,Cisco Systems Inc.,Webex for Government,285,35,34,0,0,1
FR2523656707,"Cisco Systems, Inc.",Cisco ThousandEyes for Government,40,0,0,0,0,1
FR2012534927,"Cisco Systems, Inc.",Cisco Catalyst SD-WAN for Government (SDWAN-G),422,4,3,1,0,1
FR1819254092,Citrix,Citrix for Government,557,7,6,0,0,1
FR2516834670,CivicPlus,Social Media Archiving,108,0,0,0,0,1
FR2014656304,"Civis Analytics, Inc.",Civis Platform,1464,1,0,0,0,1
FR2406760385,Clarivate Analytics US LLC,Clarivate Intellectual Property AI & Image Search Platform (CIPAI-ISP),212,1,0,0,0,1
FR2210850126,"Cleartronic, Inc. dba. ReadyOp Communications, Inc.",ReadyOp,174,0,0,0,0,1
FR2309544938,"Cloudera Government Solutions, Inc",Cloudera for Government,453,1,0,0,1,0
FR2000863987,Cloudflare,Cloudflare for Government,532,17,49,0,0,1
FR2303852859,Cocoon Data,SafeShare (SFS),376,0,0,0,0,1
FR1910758409,Code42,Incydr Gov,321,2,1,0,0,1
FR2013059515,Cofense,Cofense PhishMe,333,7,6,0,0,1
FR2434758320,Cognitus Consulting LLC,LambdaX Contract Lifecycle Management (CLM) for Government,128,0,0,1,1,1
FR2306445868,Cohesity,Cohesity Cloud Services for Government,356,2,1,0,0,1
FR2128562231,Collabware,Collabspace,602,3,2,0,0,1
FR1706403967,Collibra,Collibra Data Intelligence Cloud (CDIC),376,9,8,0,0,1
FR2115384377,"Commvault Systems, Inc.",Commvault Cloud for Government,1088,5,4,0,0,1
F1506246782,Complete Discovery Source,Complete Discovery Source Federal Cloud (CDS-F),1334,6,5,0,0,1
FR2234550858,"Concur Technologies, Inc.",Concur Cloud for Public Sector,364,19,18,0,0,1
FR2409863458,Confluent Inc.,Confluent Cloud for Government (CCG),160,0,0,0,0,1
FR2207365631,Consensus Cloud Solutions,Enterprise Cloud Fax Government (ECFax),490,1,0,0,0,1
FR1833967442,Contegix,Valiantys Federal (Formerly Contegix),182,4,11,0,1,0
FR2325657620,Content Guru,Storm Cloud Contact Center,582,1,0,0,0,1
FR1915750265,"Continuum GRC, Inc.",ITAM,327,1,0,0,0,1
FR2200507410,Copado,Copado GovCloud,429,3,2,0,0,1
FR2419424565,Cora Systems,Project Portfolio Management (PPM),144,0,0,0,0,1
FR2407275137,Coralogix Inc.,Coralogix U.S. GovOps,464,0,0,0,0,1
FR1722160191,CORAS,CORAS Federal,264,2,1,0,0,1
FR2029183077,Cority Software Inc.,CorityOne,559,9,8,0,0,1
F1509217359,Cornerstone OnDemand,Unified Talent Management Suite (CUTMS),299,19,18,0,0,1
FR2323258199,"Cornerstone OnDemand, Inc.",Cornerstone Unified Talent Management Suite (CUTMS) – GovCloud,495,0,0,0,0,1
F1206111371,"CoSo Cloud, LLC.",Knox Systems,1743,6,5,0,0,1
F1308202329,Coupa Software Inc,Coupa Spend Management for Federal,504,3,2,0,0,1
FR2122140784,Covergent Solutions Inc dba Exiger Government Solutions (EGS),Exiger Federal Cloud (EFC),461,3,2,0,0,1
FR2416856649,Creative Veteran Productions,Federal Immersive Learning Management System (FED-ILMS),306,1,0,0,0,1
FR1807853629A,"CrowdStrike, Inc.",CrowdStrike Falcon Platform for Government,464,34,41,0,0,1
FR2135180018,CuraPatient,Composite Apps/ CuraPatient,240,0,0,0,0,1
FR2001619337,CyberArk Software LTD,CyberArk Identity for Government,715,3,5,0,0,1
FR2001619708,CyberArk Software LTD,CyberArk Endpoint Privilege Manager (EPM) for Government,715,3,5,0,0,1
FR2108731521,CyLogic,CyCloud - VMware Cloud Foundation ( VCF ),104,0,0,1,0,0
FR2310956122,"Cyware Labs, Inc.",Cyware Cyber Fusion Center (CFC),271,0,0,0,0,1
FR2402468053,Darktrace Federal Inc.,Cyber AI Mission Defense and Email Protection,423,1,0,0,0,1
F1404304159,DataBank Holdings,FedRAMP Compliant CloudPlus,430,2,8,1,1,0
FR2525247858,"Databricks, Inc.",Databricks on Azure Commercial,13,0,0,0,1,1
FR1834740315,"Databricks, Inc.",Databricks on AWS US East/West,357,3,7,0,1,1
FR2324740262,"Databricks, Inc.",Databricks on AWS GovCloud,632,1,0,0,1,1
FR2023864279,Datadog,Datadog for Government,253,12,92,0,0,1
FR2023864279A,Datadog,Datadog for Government - High,60,0,0,0,0,1
FR2112152882,Datavant,Datavant Cloud,182,1,0,0,0,1
F1507317125,Decision Lens Inc.,Decision Lens Software,559,5,4,0,0,1
FR2427252775,"Dejero Labs, Inc.",Dejero Control and Concentrator,361,0,0,0,0,1
F1210161615,Deloitte,Evidence Management System (EMS),32,10,9,0,0,1
FR2207247759,Deloitte GPS OpenCloud,Deloitte GPS OpenCloud,471,0,0,0,1,0
F1606087903,Deltek - Replicon,Replicon Cloud Platform (Enterprise Time Tracking Platform),280,1,0,0,0,1
FR2405880485,"Deltek, Inc.",Costpoint GovCon Cloud Moderate (CP GCCM),151,0,0,0,0,1
FR2134254227,Devo,Devo.Gov-US,677,1,0,0,0,1
FR2100845343,DevResults,DevResults,245,1,0,0,0,1
FR2410651313,Dewberry,DimensionalView®,158,0,0,0,0,1
FR2508262726,Dexcom Inc.,Dexcom Clarity for Government,164,0,0,0,0,1
FR2414718666,Digital Science UK Limited,Overleaf,160,2,1,0,0,1
FR2118743892,Digital.ai,Digital.ai Government Cloud,257,2,1,0,0,1
FR1834172478,"Diligent, Inc.",Diligent One Platform (D1P),427,5,4,0,0,1
FR1805752046,"Distributed Solutions, Inc.",AEON,319,4,3,0,0,1
FR2000951694,DLH Corporation,DLH Infinibyte Cloud,756,1,0,0,1,0
FR1814557199,"DNAnexus, Inc.",DNAnexus Platform,236,3,2,0,1,0
FR2432940371,Docebo,Docebo Learning Platform for Gov (DCBO-GOV),232,1,0,0,0,1
FR2419537309,"DocketScope, Inc.",DocketScope®,299,1,0,0,0,1
F1609267945,DocuSign,"DocuSign Federal (eSignature, Gen, Negotiate)",297,39,46,0,0,1
F1605027893,DocuSign,DocuSign CLM,844,3,41,0,0,1
FR2514732308,"DOMA Technologies, LLC",DX Engage Government Platform,72,0,0,0,0,1
F1507136931A,"Druva, Inc.",Druva Data Resiliency Cloud,554,12,11,0,0,1
FR2410060106,"DTEX Systems, Inc.",DTEX InTERCEPT for Government,338,0,0,0,0,1
FR1823149273,Duo Security (a Cisco Company),Duo Federal,373,13,214,0,0,1
FR2016131254,Dynatrace,Dynatrace Platform,116,11,14,0,0,1
F1603307884,"e-Builder, A Trimble Company",Trimble Unity Construct Government Edition,1575,1,0,0,0,1
F1301251880,Economic Systems,Economic Systems Federal Human Resources Navigator,309,19,18,0,0,1
FR2023601671,eGain Corporation,eGain Suite,195,2,1,0,0,1
FR2024952734,Egnyte Inc.,Egnyte Platform,24,0,0,0,0,1
FR2016962740,Eightfold AI Inc.,Eightfold Talent Intelligence Platform (TIP),1141,2,1,0,0,1
FR2004446306,Elastic,Elastic Cloud,189,7,32,0,0,1
FR2523939103,Elastic Cloud Hosted,Elasticsearch,5,0,0,0,0,1
FR2404453515,"Embrava USA, Inc.",Embrava Device Management System (DMS),46,0,0,0,0,1
FR2034966708,End To End Computing,Singularity,319,1,0,0,0,1
FR2014363920,Enel X North America,Exchange Platform,136,1,0,0,0,1
FR1930046270,EnergyCAP LLC.,EnergyCAP,118,3,2,0,0,1
FR2330135650,"Eptura, Inc",Archibus,400,1,0,0,0,1
FR2311952621,Ernst & Young LLP,EY Grants Accelerator,629,0,0,0,0,1
FR1811073663A,ESRI,ArcGIS Online (AGO),475,14,16,0,0,1
F1311252651,ESRI,Esri Managed Cloud Services Advanced Plus,218,5,5,0,1,1
FR2523143582,ETHERFAX,ETHERFAX GovCloud,16,0,0,1,0,0
F1412165928,Everbridge,Critical Event Management Suite,170,26,26,0,0,1
FR2413540464,Everfox,Everfox ULTRA,135,0,0,0,0,1
FR1916055736,"Everlaw, Inc.",Everlaw Platform,492,5,4,0,0,1
FR2207359708,Evidence Prime,Laser AI,77,1,0,0,0,1
F1305132147,Ex Libris,"Higher-Ed Platform (Alma, Primo, Leganto, Esploro)",440,11,10,0,0,1
FR1827963145,"Exterro, Inc.",Exterro E-Discovery and Legal Software Platform,249,3,2,0,0,1
FR2510664395,ExtraHop Networks,ExtraHop RevealX Federal,151,0,0,0,0,1
FR2427818523,"Feith Sytems and Software, Inc.",RMA iQ™,294,1,0,0,0,1
FR2311345531,Figma,Figma for Government,256,4,4,0,0,1
FR1828574469,FM:Systems,FMS:Employee,98,5,4,0,0,1
FR2324454026,FM:Systems,FMS:Workplace,640,2,1,0,0,1
FR1932554201,Forcepoint,ONE – Security Service Edge (SSE) – CASB/DLP/SWG/ZTNA/RBI,390,1,0,0,0,1
FR2031156016,"FormAssembly, Inc.",FormAssembly Gov Cloud,285,0,0,0,0,1
FR2327655698,Gallery Systems,MCMS Next,674,0,0,0,0,1
FR1834348080,"GDC Integration, Inc.",General Support System (GSS),825,3,2,0,0,1
FR1829538820,General Services Administration,Login.gov,353,18,17,0,0,1
FR2131766015,Genesys,Genesys Cloud CX,433,10,9,0,0,1
FR1918150046,Geotab,Geotab Telematics Platform Government (GTP Gov),385,3,3,0,0,1
FR2210851632,GetWellNetwork,GetWellNetwork  - Get Well Anywhere - Federal,764,1,0,0,0,1
FR1812058188,GitHub,GitHub Enterprise Cloud,185,20,166,0,0,1
FR2411959145,GitLab,GitLab Dedicated for Government,331,1,0,0,0,1
FR2234334891,"Glassbeam, Inc.",Glassbeam Clinsights,561,1,0,0,0,1
FR2035860874,"Global Telehealth Services, inc.",GTS VirtualHealth Platform (GTS-VP),926,1,0,0,0,1
F1206081364,Google,Google Workspace,316,16,493,0,0,1
FR1805751477,Google,Google Services (Google Cloud Platform Products and underlying Infrastructure),302,26,315,1,1,1
FR2405153785,Google LLC,Google Cloud VMware Engine (GCVE),587,0,0,1,0,0
FR1815734543,Gordian,Gordian Federal Cloud powered by RSMeans Data,612,5,4,0,0,1
FR2422947547,GovCollab,GovCollab,100,0,0,0,0,1
FR2002757173,"Government Retirement & Benefits, Inc.",GRB Platform,750,13,12,0,0,1
FR2324055183,Govini,Ark.ai,112,1,0,0,0,1
F1311252652,Granicus,GovDelivery Communications Cloud,422,43,42,0,0,1
FR2521554684,H20.AI for Government,H2O.AI,61,0,0,0,0,1
FR1919750997,HackerOne,HackerOne Continuous Security Testing Platform,364,3,40,0,0,1
FR2411956235,"HB Healthcare Safety, SBC",Healthcare Safeware,473,0,0,0,0,1
FR2135040486,HealthVerity,Privacy Preserving Records Linkage (PPRL),382,1,0,0,0,1
FR1831429369,HireVue,Recruitment Assessments and Video Interviewing,268,5,4,0,0,1
FR1728349078,Hootsuite,Hootsuite Enterprise,85,6,5,0,0,1
FR2502963317,HP Inc.,HP Managed Services for Government,159,0,0,0,0,1
F1408115175,Huddle US,Huddle Enterprise Cloud Content Collaboration and File Sharing Portal for Government,186,7,7,0,0,1
FR1802451335,"Human Resources Technologies, Inc. (HRTec)",Federal High Impact Virtualized Environment (FedHIVE),880,2,1,1,1,1
FR2333538201,"Hypori, Inc.",Hypori Government Cloud,202,1,0,0,0,1
FR1728053006,IBM,IBM Maximo and TRIRIGA on Cloud for U.S. Federal,287,13,12,0,0,1
F1206081363,IBM,SmartCloud for Government,513,7,6,1,0,0
F1208031461,IBM,IBM Platform Services for Government,862,12,11,0,1,1
F1211011660,IBM,IBM Cloud for Government,559,5,17,1,1,0
FR2135730387,IBM,IBM Federal HR Cloud,552,5,4,0,0,1
FR2504062150,IBM,IBM Federal ATOM,136,0,0,0,0,1
FR2417469779,IBM Envizi ESG Reporting,IBM Envizi ,185,1,0,0,0,1
FR2122038682,iBoss,iboss Government Cloud Platform (IGCP),349,2,1,0,0,1
FR2022963780,Icertis Inc.,Icertis Contract Intelligence (ICI) for Government,39,0,0,0,0,1
FR1718334757,ID.me,ID.me Identity Gateway,378,6,5,0,0,1
FR2429166928,Ideagen,Ideagen Government Cloud,221,1,0,0,0,1
F1512017638,IdeaScale,IdeaScale Gov,98,7,6,0,0,1
FR2230244107,"Illumio, Inc.",Illumio Government Cloud,622,1,0,0,0,1
FR2520254824,InEight,InEight Document,10,0,0,0,0,1
FR2017257053,Infoblox,Infoblox Threat Defense,812,1,0,0,0,1
FR1710033970,Infor,Infor Government Solutions (IGS) Software as a Service,350,1,0,0,0,1
FR2029331613,Informatica LLC,Informatica Intelligent Cloud Services (IICS),117,4,4,0,0,1
FR2321143030,"Information First, Inc.",Content Manager Records Management Application (RMA) Cloud Service Offering (CSO),269,0,0,0,0,1
FR2520040378,Infotek Consulting LLC,Infotek Online Services for US Government,25,0,0,1,0,1
FR1800263217,"Innovative Discovery, LLC",Innovative Driven Government Cloud (IDGC),280,3,2,0,0,1
FR1821933307,"Innovest Systems, LLC",Trust & Wealth Management Solutions,314,1,0,0,0,1
FR1724526654,Intelliworx,Intelliworx Cloud Workflow Platform,323,33,32,0,0,1
FR2104636677,"Ipsos America, Inc.",Ipsos Research,306,1,0,0,0,1
FR2031155471,Iron Mountain,Iron Mountain InSight,1482,1,0,0,0,1
FR2514356645,Iron Mountain,Iron Mountain Insight on AWS,93,0,0,0,0,1
FR2027958176,"Issio Solutions, Inc.",Issio Information System,298,0,0,0,0,1
F1303221956,IT-CNP,GovDataHosting Cloud Platform,39,6,5,1,0,0
FR2212912561,Itamar Medical,Itamar Dispatcher Cloud (IDC),121,1,0,0,0,1
FR1816364586,Ivanti,Ivanti Neurons for ITSM (Formerly Service Manager),440,1,6,0,0,1
F1507116930,Ivanti,Ivanti Neurons for MDM (Formerly MobileIron),351,3,3,0,0,1
FR2324452533,Joint Commission Resources,Tracers with AMP®,241,1,0,0,0,1
FR2102758152,Juniper Networks,Juniper Mist,765,1,0,0,0,1
FR2128462521,"Juvare, LLC",Juvare Federal Cloud,549,3,2,0,0,1
FR2032565438,"Kahua, Inc.",Kahua Federal Network (KFN),67,5,4,0,0,1
FR2124663764,KBR Vaault,KBR,534,0,0,0,0,1
FR2116544598,Keeper Security,Keeper Security Government Cloud Password Manager and Privileged Access Manager,117,6,95,0,0,1
FR2335051964,Keyfactor,Keyfactor for Government,100,0,0,0,0,1
FR2435353186,"Kiteworks USA, LLC",Kiteworks Secure Gov Cloud,136,0,0,0,0,1
FR2118080669,"Knightscope, Inc.",Knightscope Autonomous Security Robot (Knightscope ASR),975,1,0,0,0,1
FR2201340492,"KnowBe4, Inc.",KnowBe4 Platform (KSAT + PhishER),460,18,20,0,0,1
FR2113552479,Knowledge Services,dotStaff,229,0,0,0,0,1
FR2526240411,Koniag Government Services,Koniag Government Services Electronic Health Record System (KGS EHRS),13,0,0,0,0,1
FR2406453618,LabArchives,LabArchives for Government (LG),389,1,0,0,0,1
FR2422436886,Laerdal Labs D.C.,SimCapture Cloud Government,91,1,0,0,0,1
FR2235154356,Lastwall Corp,IDCommand,94,1,0,0,0,1
FR2120962552,LaunchDarkly,LaunchDarkly,540,1,24,0,0,1
F1305012100,"Leidos Digital Solutions, Inc.",in3sight,282,3,2,0,0,1
FR1830842316,"Leidos Digital Solutions, Inc.",IQ FedCloud,303,4,3,0,0,1
FR2020767053,Level Access,Accessibility Management Platform (AMP),169,5,4,0,0,1
FR2510634052,LexisNexis Legal and Professional,Lexis+® for Government,150,0,0,0,0,1
FR2524251176,LMI Solutions,Atlas by LMI,11,0,0,0,0,1
FR2428168490,LogicMonitor,LM for Gov,102,0,0,0,0,1
F1603297883,"Lookout, Inc.",Lookout Security Platform,302,13,14,0,0,1
FR2218073444,"Lucid Software, Inc.",Lucid GovSuite,383,7,7,0,0,1
FR2229642430,Lumen,Cloud Contact Center,799,1,0,0,0,1
FR1927682057,"M.C. Dean, Inc.",InfraLink,373,3,2,0,0,1
FR2129953050,"Manhattan Associates, Inc.",Manhattan Government Cloud,458,1,0,0,0,1
FR2226144516,"MARi, LLC",MARi,485,1,0,0,0,1
FR2235965777,"Mark43, Inc.",Mark43 Public Safety Platform (PSP),516,1,0,0,0,1
FR2514767720,Mastercard Cybersecurity,RiskRecon Cybersecurity & Privacy - Reporting and Scorecards,80,0,0,0,0,1
FR2335153827,MasterControl,Quality Excellence Gov (Qx Gov),371,1,0,0,0,1
FR2225648574,Mathematica Inc.,Mathematica Cloud Support System,828,3,2,0,1,1
FR1728351539,MAXIMUS Inc.,Maximus Intelligent Virtual Assistant (MIVA) (formerly MIA),494,4,3,0,0,1
F1303191948,MAXIMUS Inc.,MAXIMUS Cloud,2739,4,7,1,1,1
FR2324445481,"MCG Energy Solutions, LLC",MCG Applications and Hosting,644,1,0,1,0,1
FR1902240018,MDRC,SPROUT,133,2,1,0,0,1
FR2332852130,Medallia Inc.,Mindful by Medallia,589,1,0,0,0,1
FR1711262842,"Medallia, Inc.",Medallia GovCloud,104,12,12,0,0,1
FR2004146362,"MediaLab, Inc.",MediaLab Federal,301,2,1,0,0,1
FR2210666939,Melissa,Melissa GovCloud Address Suite,190,2,1,0,0,1
FR2032665434,Menlo Security,Cloud Security Platform powered by Isolation Core,389,1,0,0,0,1
FR2206159758,Merlin International,Constellation GovCloud (CGC),578,1,0,0,1,0
FR2215946050,MicroFocus,"ITMX Platform featuring Service & Asset Management, Universal Discovery, CMDB and Project & Portfolio Management",425,1,0,0,1,1
F1603087869,Microsoft,Azure Government (includes Dynamics 365),407,70,388,1,1,1
FR1824057433,Microsoft,Microsoft Office 365 GCC High,1081,3,2,0,0,1
MSO365MT,Microsoft,Microsoft 365 Government Community Cloud & Supporting Services,193,97,372,0,0,1
F1209051525,Microsoft,Azure Commercial Cloud,231,83,533,1,1,1
FR2126176344,MicroStrategy,MicroStrategy Cloud for Government,441,1,0,0,0,1
F1311222650,MIS Sciences Corporation,GovPoint Cloud Services,631,8,7,1,1,1
F1610037949,mLINQS,mLINQS Hosting Service,344,9,8,0,0,1
FR2122150307,MongoDB,MongoDB Atlas for Government,604,5,19,0,1,1
FR1711546389,Monster Government Solutions,Monster Hiring Management Enterprise (MHME),314,17,16,0,0,1
FR2118055930,Motorola Solutions,Motorola Solutions Federal Cloud (MSFC),1351,1,0,0,0,1
FR2332364851,Moveworks,Moveworks GovCloud,158,0,0,0,0,1
FR2335850270,Movius Interactive Corporation,Movius MultiLine and Movius Decentralized Distributed Secure Communications,473,0,0,0,0,1
F1506256801,"MSM Group, Inc.",iSite Contract Management Portal,967,1,0,0,0,1
FR1818161169,MuleSoft,MuleSoft Government Cloud,483,21,74,0,1,0
FR2304546222,My Business Matches,Vendor Event & Business Matchmaking Platform,724,1,0,0,0,1
FR2226846287,National Institute of Building Sciences (NIBS),ProjNet™,846,1,0,0,0,1
FR2224739070,National Resident Matching Program,iMatch,680,1,0,0,0,1
FR2234963115,"NCR Government, LLC",NCR Government Cloud,662,1,0,0,0,1
FR2119265538,NEOGOV,NEOGOV Cloud,928,0,0,0,0,1
F1508127183,NetComm,Beacon,131,1,0,0,0,1
FR2028977567,"NetDocuments Software, Inc.",NetDocuments Document Management System (DMS),234,4,3,0,0,1
